Fatura,ID_Cliente,CNPJ,Razao_Social,Nome_Fantasia,Situacao_Cadastral,Data_Situacao_Cadastral,Motivo_Situacao,Natureza_Juridica,Data_Inicio_Atividade,CNAE_Principal_Codigo,CNAE_Principal_Descricao,Porte,Capital_Social,Simples_Nacional,MEI,Email,Telefone,CEP_Receita,Logradouro_Receita,Numero_Receita,Complemento_Receita,Bairro_Receita,Municipio_Receita,UF_Receita
77,21734,26705874000138,G PLAZA COMERCIO VAREJISTA DE ALIMENTOS LTDA,GIRAFFAS,ATIVA,2016-12-13,SEM MOTIVO,,2016-12-13,5611201,Restaurantes e similares,,100000,False,False,,1122213104,09080500,INDUSTRIAL,600,LOJA F 20 A,JARDIM,SANTO ANDRE,SP
78,1293606,66580341000191,BESSI MATERIAIS PARA CONSTRUCAO LTDA,,ATIVA,2005-11-03,SEM MOTIVO,,1991-07-22,4744099,Comércio varejista de materiais de construção em geral,,12000,True,False,,,17280000,ANTONIO P DOS SANTOS,L 105,,VILA RUIZ,PEDERNEIRAS,SP
81,1861956,52269636000137,CLUBE RECREATIVO DE MARTINOPOLIS,CLUBE RECREATIVO DE MARTINOPOLIS,ATIVA,2022-08-10,SEM MOTIVO,,1977-12-06,9312300,"Clubes sociais, esportivos e similares",,0,,,,,19500000,CEL JOAO GOMES MARTINS,588,,CENTRO,MARTINOPOLIS,SP
82,2874302,63720070000134,AUTO POSTO EUCLIDES DA CUNHA LTDA,AUTO POSTO EUCLIDES DA CUNHA LTDA,ATIVA,2025-11-18,SEM MOTIVO,,2025-11-18,4731800,Comércio varejista de combustíveis para veículos automotores,,150000,,,,1839024225,19275027,JOSE JOAQUIM MANO,1682,,CENTRO,EUCLIDES DA CUNHA PAULISTA,SP
84,2855795,21526083000127,OMEGA COMERCIO E SERVICOS LTDA.,OMEGA COMERCIO E SERVICOS,ATIVA,2014-12-05,SEM MOTIVO,,2014-12-05,4673700,Comércio atacadista de material elétrico,,360000,True,False,,3137631693,36406150,GERALDO PLAZA,780,,PAULO VI,CONSELHEIRO LAFAIETE,MG
87,2393289,28445729000190,SOMOS SONHO LTDA,,ATIVA,2017-08-17,SEM MOTIVO,,2017-08-17,4643501,Comércio atacadista de calçados,,5000000,False,False,,2136090200,22743310,DO CAMPO D'AREIA,00132,,PECHINCHA,RIO DE JANEIRO,RJ
88,1210131,31576502000199,IGREJA EVANGELICA BLINDADOS POR DEUS,IGREJA EVANGELICA BLINDADOS POR DEUS,ATIVA,2018-08-09,SEM MOTIVO,,2018-08-09,9491000,Atividades de organizações religiosas ou filosóficas,,0,,,,1432371804,17021360,JOAO BATINI,3-57,,JARDIM GODOY,BAURU,SP
90,175851,36893412000145,ASSOCIACAO DA PEDRA PARA A ROCHA,,ATIVA,2019-04-05,SEM MOTIVO,,2019-04-05,8720499,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química e grupos similares não",,0,,,,1147820982,01215000,GLETE,485,,CAMPOS ELISEOS,SAO PAULO,SP
91,2314979,47786271000188,WAUX DISTRIBUIDORA E IMPORTADORA LTDA,,ATIVA,2022-08-31,SEM MOTIVO,,2022-08-31,4732600,Comércio varejista de lubrificantes,,100000,,,,1124022907,07251050,ARAUCARIA,108,SALA 02,AGUA CHATA,GUARULHOS,SP
93,2717676,52638797000150,LUMENS BRASIL ILUMINACAO LTDA,,ATIVA,2023-10-24,SEM MOTIVO,,2023-10-24,4742300,Comércio varejista de material elétrico,,50000,True,False,,5130151383,92420047,MCLANE,1106,,SAO LUIS,CANOAS,RS
95,2851553,37149733000100,ROGERIO COSTA GONCALVES IDIOMAS E EMPREENDIMENTOS,PARK IDIOMAS LAFAIETE,ATIVA,2020-05-15,SEM MOTIVO,,2020-05-15,8593700,Ensino de idiomas,,50000,True,False,,,36400029,,,,CENTRO,CONSELHEIRO LAFAIETE,MG
96,262464,18455277000174,ALEXANDRE KISHIMOTO,IMOBILIARIA ELDORADO,ATIVA,2013-07-08,SEM MOTIVO,,2013-07-08,6821801,Corretagem na compra e venda e avaliação de imóveis,,30000,True,False,,,16200095,,,,CENTRO,BIRIGUI,SP
98,2809655,65766119000115,LUZ DE BAURU SPE SA,,ATIVA,2026-03-17,SEM MOTIVO,,2026-03-17,3512300,Transmissão de energia elétrica,,23314000,,,,1421065799,17030000,RODRIGUES ALVES,3483,,VILA CARDIA,BAURU,SP
99,2026887,07302283000175,AUTO POSTO MOTTA CASTRO LTDA,,ATIVA,2005-03-30,SEM MOTIVO,,2005-03-30,4731800,Comércio varejista de combustíveis para veículos automotores,,300000,,,,1147125257,18145042,AMARO GODINHO,660,,CENTRO (CANGUERA),SAO ROQUE,SP
100,1268761,62955505880612,IGREJA DO EVANGELHO QUADRANGULAR,CRUZADA NACIONAL DE EVANGELIZACAO,ATIVA,2004-10-02,SEM MOTIVO,,1997-08-27,9491000,Atividades de organizações religiosas ou filosóficas,,0,,,,1132263131,13308123,PEDREGULHO,59,,CIDADE NOVA I,ITU,SP
